,Latitude,Longitude,StopName,StopStatus,VehDistAlongRoute,VehicleRef
0,40.796313,-73.935182,1 AV/E 116 ST,at stop,10731.23,5908
0,40.701493,-74.012469,SOUTH ST/WHITEHALL ST,at stop,0.05,5704
1,40.796446,-73.935085,1 AV/E 120 ST,< 1 stop away,10748.179999999998,5908
0,40.701493,-74.012469,SOUTH ST/WHITEHALL ST,at stop,0.05,5704
1,40.798178,-73.933814,1 AV/E 120 ST,approaching,10968.449999999999,5908
0,40.799386,-73.932934,1 AV/PALADINO AV,approaching,11121.91,5908
1,40.70175,-74.012643,WATER ST/BROAD ST,< 1 stop away,39.139999999999986,5704
0,40.799658,-73.932736,1 AV/PALADINO AV,approaching,11156.39,5908
1,40.702248,-74.012792,WATER ST/BROAD ST,< 1 stop away,95.98999999999998,5704
0,40.800031,-73.932464,1 AV/PALADINO AV,approaching,11203.8,5908
1,40.702642,-74.012412,WATER ST/BROAD ST,approaching,159.95,5704
0,40.800601,-73.932047,1 AV/E 125 ST,approaching,11276.26,5908
1,40.703192,-74.010593,WATER ST/OLD SLIP,< 1 stop away,326.75,5704
0,40.801294,-73.931541,1 AV/E 125 ST,approaching,11364.33,5908
1,40.703952,-74.009177,WATER ST/OLD SLIP,approaching,474.7,5704
0,40.801591,-73.931322,1 AV/E 125 ST,at stop,11402.08,5908
1,40.703952,-74.009177,WATER ST/OLD SLIP,approaching,474.7,5704
0,40.801591,-73.931322,1 AV/E 125 ST,at stop,11402.08,5908
1,40.70521,-74.007356,WATER ST/WALL ST,at stop,682.4,5704
0,40.802905,-73.93183,E 126 ST/2 AV,approaching,11618.380000000001,5908
1,40.706012,-74.006206,WATER ST/FLETCHER ST,approaching,814.08,5704
0,40.706164,-74.005988,WATER ST/FLETCHER ST,at stop,839.0500000000001,5704
1,40.802905,-73.93183,E 126 ST/2 AV,approaching,11618.380000000001,5908
0,40.707315,-74.004263,PEARL ST/FULTON ST,approaching,1032.81,5704
1,40.802905,-73.93183,E 126 ST/2 AV,approaching,11618.380000000001,5908
